City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,kodiak,1,US,1552351794,28,39.95,-94.76,46.4,4.7
88,new norfolk,75,AU,1552351644,38,-42.78,147.06,59.0,13.87
89,laguna,90,MX,1552347780,64,27.52,-110.01,68.0,5.82
90,aksarka,32,RU,1552351789,73,66.56,67.8,10.21,5.64
91,thompson,75,CA,1552348800,53,55.74,-97.86,26.6,11.41
92,georgetown,100,GY,1552351873,72,6.8,-58.16,79.15,7.43
93,esmeraldas,40,BR,1552348800,69,-19.76,-44.31,75.2,9.17
94,grindavik,90,IS,1552351552,55,63.84,-22.43,43.0,26.4
95,mount gambier,75,AU,1552348800,51,-37.83,140.78,59.0,17.22
96,nishihara,40,JP,1552351807,46,35.74,139.53,61.0,3.36
97,nelson bay,0,AU,1552351790,51,-32.72,152.14,87.01,11.41
98,carnarvon,12,ZA,1552351898,94,-30.97,22.13,56.11,13.13
99,gonda,0,IN,1552351898,79,27.13,81.96,60.16,3.62
100,komsomolskiy,48,RU,1552351898,67,67.55,63.78,7.15,6.98
101,vila franca do campo,75,PT,1552351893,93,37.72,-25.43,59.0,4.7
102,paamiut,56,GL,1552351752,100,61.99,-49.67,21.37,13.02
103,nantucket,1,US,1552351897,86,41.28,-70.1,43.0,6.93
104,banjar,88,ID,1552351779,97,-7.37,108.54,73.62,3.29
105,evensk,56,RU,1552351806,100,61.92,159.24,6.43,4.97
106,qaanaaq,48,GL,1552351722,100,77.48,-69.36,-5.54,7.2
107,auki,0,NG,1552351665,45,12.18,6.51,70.78,3.74
108,iqaluit,5,CA,1552351365,68,63.75,-68.52,-20.01,13.87
109,fare,88,PF,1552351753,100,-16.7,-151.02,82.3,8.55
110,husavik,0,CA,1552351841,83,50.56,-96.99,21.0,7.0
111,hithadhoo,68,MV,1552351740,100,-0.6,73.08,83.34,11.68
112,nicoya,0,CR,1552348800,55,10.15,-85.45,86.0,24.16
113,kieta,92,PG,1552351843,100,-6.22,155.63,78.12,6.98
114,katsuura,20,JP,1552350284,66,33.93,134.5,53.6,9.17
115,diamantino,36,BR,1552351900,89,-14.4,-56.44,75.96,2.39
116,rio gallegos,20,AR,1552348800,57,-51.62,-69.22,51.8,11.41
117,saldanha,8,PT,1552351900,80,41.42,-6.55,37.39,2.62
118,fergus falls,1,US,1552351732,72,46.28,-96.08,24.8,10.29
119,chuy,24,UY,1552351731,77,-33.69,-53.46,70.33,14.03
120,yulara,0,AU,1552348800,23,-25.24,130.99,93.2,13.87
121,tasiilaq,88,GL,1552348200,73,65.61,-37.64,21.2,2.24
122,camacha,75,PT,1552348800,77,33.08,-16.33,60.8,5.82
123,hami,0,CN,1552351900,62,42.84,93.51,29.79,8.32
